id,name,etxt,ctxt,name
1,ホットポット,みんなで上に乗って揺れを楽しめます。,上に乗れる目安は、大人2人、こども2人です。,a
2,三角ボルダリング,登ったり、中に入ることができます。,b
3,リングスイング,自由な姿勢で乗り、揺れを楽しむことができます。,c
4,イグルージム,ドーム型のジャングルジムで、車いすで中に入ることができます。,d
5,パネルプレイ,指先を使って遊ぶことができ、音を出したり、色合わせをして楽しむことができます。,e
6,ゆらゆらブリッジ,つり橋の上でバランスを取ることができます。車いすでも渡ることができます。,f
7,ウェーブロード,アップダウンの道を楽しむことができる遊具です。,g
8,ウォールクライム,つかまり立ちの練習や登って遊ぶことができます。,h
9,ブランコ,小さな子供でも座れるバケット型となっています。,i
10,ユニティースピン,小さな子供でも座って回転を楽しむことができます。,j
11,複合遊具,滑り台やうんていなどの遊具を楽しむことができます。,k
12,ストレッチベンチ,上半身を後ろに大きくそらし、体をほぐすことができます。,l
13,バランス渡り,バランス感覚を養うことができます。,m
14,ぶらさがり,背中を伸ばすことができ、腰痛、肩こりの改善が期待できます。,n